Código FIPE,Modelo,Ano,Mês de Referência,Preço
021004-8,C-280 Elegance,1999,junho de 2021 ,"R$ 30.983,00"
021022-6,C-230 Touring Kompressor,1997,março de 2020 ,"R$ 24.125,00"
021005-6,C-280 Classic/Sport,2000,outubro de 2021 ,"R$ 35.798,00"
021004-8,C-280 Elegance,1999,julho de 2021 ,"R$ 32.069,00"
021041-2,C-280 Touring,2000,novembro de 2020 ,"R$ 29.992,00"
021222-9,C-300 Avantgarde 3.0 V6 24V 231cv Aut.,2011,dezembro de 2021 ,"R$ 76.318,00"
021368-3,C-300 Cabriolet 2.0 245/258cv Aut.,2021,novembro de 2021 ,"R$ 462.592,00"
021365-9,C-300 Anniversary Lim. Edit. 2.0 Aut.,2017,janeiro de 2020 ,"R$ 175.143,00"
021040-4,C-240 Elegance 2.4,1998,julho de 2020 ,"R$ 21.511,00"
021005-6,C-280 Classic/Sport,1999,setembro de 2021 ,"R$ 34.209,00"
021368-3,C-300 Cabriolet 2.0 245/258cv Aut.,2021,setembro de 2021 ,"R$ 454.229,00"
021368-3,C-300 Cabriolet 2.0 245/258cv Aut.,2021,outubro de 2021 ,"R$ 460.985,00"
021380-2,C-300 Estate Avantgarde 2.0 245cv Aut.,2018,março de 2021 ,"R$ 198.958,00"
021380-2,C-300 Estate Avantgarde 2.0 245cv Aut.,2018,fevereiro de 2021 ,"R$ 198.043,00"
021379-9,C-300 Sport 2.0 16V Aut.,2020,dezembro de 2020 ,"R$ 265.352,00"
021380-2,C-300 Estate Avantgarde 2.0 245cv Aut.,2018,novembro de 2020 ,"R$ 194.821,00"
021380-2,C-300 Estate Avantgarde 2.0 245cv Aut.,2018,janeiro de 2021 ,"R$ 202.027,00"
021380-2,C-300 Estate Avantgarde 2.0 245cv Aut.,2018,dezembro de 2020 ,"R$ 201.120,00"
021041-2,C-280 Touring,1999,outubro de 2020 ,"R$ 28.364,00"
021222-9,C-300 Avantgarde 3.0 V6 24V 231cv Aut.,2010,junho de 2021 ,"R$ 55.876,00"
021004-8,C-280 Elegance,1997,abril de 2021 ,"R$ 25.894,00"
021041-2,C-280 Touring,1999,setembro de 2020 ,"R$ 28.407,00"
021004-8,C-280 Elegance,1998,março de 2021 ,"R$ 26.488,00"
021222-9,C-300 Avantgarde 3.0 V6 24V 231cv Aut.,2010,julho de 2021 ,"R$ 56.908,00"
