Código FIPE,Modelo,Ano,Mês de Referência,Preço
801016-1,SUPER CITY 150,1996,julho de 2021 ,"R$ 4.353,00"
801014-5,SST 13.5 125cc,1994,fevereiro de 2020 ,"R$ 1.083,00"
801014-5,SST 13.5 125cc,1995,março de 2021 ,"R$ 1.114,00"
801014-5,SST 13.5 125cc,1994,julho de 2021 ,"R$ 1.067,00"
801012-9,JUNIOR 50,1996,março de 2020 ,"R$ 1.029,00"
801014-5,SST 13.5 125cc,1993,fevereiro de 2020 ,"R$ 1.026,00"
801014-5,SST 13.5 125cc,1994,fevereiro de 2021 ,"R$ 1.047,00"
801014-5,SST 13.5 125cc,1996,maio de 2020 ,"R$ 1.290,00"
801016-1,SUPER CITY 150,1996,março de 2021 ,"R$ 4.253,00"
801016-1,SUPER CITY 150,1996,agosto de 2021 ,"R$ 4.413,00"
801014-5,SST 13.5 125cc,1992,fevereiro de 2020 ,"R$ 972,00"
801016-1,SUPER CITY 150,1996,maio de 2021 ,"R$ 4.231,00"
801014-5,SST 13.5 125cc,1993,fevereiro de 2021 ,"R$ 990,00"
801014-5,SST 13.5 125cc,1991,fevereiro de 2020 ,"R$ 930,00"
801012-9,JUNIOR 50,1995,abril de 2020 ,"R$ 985,00"
801014-5,SST 13.5 125cc,1990,fevereiro de 2020 ,"R$ 891,00"
801014-5,SST 13.5 125cc,1994,maio de 2021 ,"R$ 1.038,00"
801014-5,SST 13.5 125cc,1997,junho de 2020 ,"R$ 1.459,00"
801020-0,SUPER CITY 125,1994,outubro de 2020 ,"R$ 2.506,00"
801014-5,SST 13.5 125cc,1994,março de 2021 ,"R$ 1.044,00"
801016-1,SUPER CITY 150,1995,maio de 2021 ,"R$ 3.994,00"
801014-5,SST 13.5 125cc,1994,junho de 2021 ,"R$ 1.053,00"
801014-5,SST 13.5 125cc,1993,junho de 2021 ,"R$ 995,00"
801014-5,SST 13.5 125cc,1998,janeiro de 2020 ,"R$ 1.560,00"
801014-5,SST 13.5 125cc,1993,julho de 2021 ,"R$ 1.008,00"
801014-5,SST 13.5 125cc,1998,setembro de 2020 ,"R$ 1.528,00"
801014-5,SST 13.5 125cc,1997,setembro de 2020 ,"R$ 1.447,00"
