Código FIPE,Modelo,Ano,Mês de Referência,Preço
515108-2,17-180 Worker 2p (diesel),2011,outubro de 2020 ,"R$ 91.474,00"
515148-1,17-190 E Worker 2p (diesel)(E5),2019,outubro de 2021 ,"R$ 238.914,00"
515043-4,16-220 T 3-Eixos 2p (diesel),1998,junho de 2020 ,"R$ 68.794,00"
515113-9,16-210 H 3-Eixos 2p (diesel),1989,maio de 2020 ,"R$ 43.767,00"
515042-6,16-210 H 2p (diesel),1989,outubro de 2020 ,"R$ 36.025,00"
515076-0,17-210 2p (diesel),2006,abril de 2020 ,"R$ 75.115,00"
515077-9,17-210 3-Eixos 2p (diesel),2011,fevereiro de 2020 ,"R$ 93.706,00"
515077-9,17-210 3-Eixos 2p (diesel),2011,janeiro de 2020 ,"R$ 94.102,00"
515044-2,16-220 Turbo 2p (diesel),1998,agosto de 2020 ,"R$ 66.963,00"
515135-0,17-190 E Constellation 2p (diesel)(E5),32000,junho de 2021 ,"R$ 328.100,00"
515078-7,17-220/17-220 Worker 2p (diesel),2012,dezembro de 2021 ,"R$ 125.073,00"
515078-7,17-220/17-220 Worker 2p (diesel),2012,abril de 2020 ,"R$ 101.188,00"
515109-0,17-180 Worker 3-Eixos 2p (diesel),2011,novembro de 2020 ,"R$ 95.694,00"
515076-0,17-210 2p (diesel),2006,maio de 2020 ,"R$ 74.994,00"
515043-4,16-220 T 3-Eixos 2p (diesel),1997,maio de 2020 ,"R$ 65.995,00"
515044-2,16-220 Turbo 2p (diesel),1997,setembro de 2020 ,"R$ 62.192,00"
515044-2,16-220 Turbo 2p (diesel),1997,julho de 2020 ,"R$ 62.530,00"
515079-5,17-220/17-220 Worker 3-Eixos 2p (diesel),2012,abril de 2020 ,"R$ 104.544,00"
515044-2,16-220 Turbo 2p (diesel),1997,maio de 2020 ,"R$ 62.870,00"
515044-2,16-220 Turbo 2p (diesel),1997,junho de 2020 ,"R$ 62.700,00"
515159-7,17-230 E Constellation 2p (diesel)(E5),32000,março de 2020 ,"R$ 251.551,00"
515108-2,17-180 Worker 2p (diesel),2009,dezembro de 2021 ,"R$ 113.018,00"
515156-2,17-230 Worker 2p (diesel)(E5),2019,junho de 2020 ,"R$ 156.588,00"
515129-5,17-250 E Constel. Tractor 4x2 2p (dies.),2012,outubro de 2020 ,"R$ 107.315,00"
515129-5,17-250 E Constel. Tractor 4x2 2p (dies.),2012,setembro de 2020 ,"R$ 107.963,00"
515135-0,17-190 E Constellation 2p (diesel)(E5),2022,outubro de 2021 ,"R$ 313.527,00"
515079-5,17-220/17-220 Worker 3-Eixos 2p (diesel),2012,maio de 2020 ,"R$ 104.112,00"
515129-5,17-250 E Constel. Tractor 4x2 2p (dies.),2012,agosto de 2020 ,"R$ 108.626,00"
515108-2,17-180 Worker 2p (diesel),2009,outubro de 2021 ,"R$ 105.639,00"
515044-2,16-220 Turbo 2p (diesel),1996,abril de 2020 ,"R$ 61.002,00"
515079-5,17-220/17-220 Worker 3-Eixos 2p (diesel),2011,novembro de 2021 ,"R$ 118.998,00"
515111-2,17-250 E Constellation 2p (diesel),2012,novembro de 2020 ,"R$ 126.571,00"
515101-5,17-250 E Worker 2p (diesel),2011,janeiro de 2021 ,"R$ 98.513,00"
515075-2,15-180/15-180 E Worker 3-Eixos 2p (die.),2003,novembro de 2021 ,"R$ 77.392,00"
515108-2,17-180 Worker 2p (diesel),2008,novembro de 2021 ,"R$ 104.273,00"
515046-9,16-300 Turbo 2p (diesel),1996,dezembro de 2021 ,"R$ 65.207,00"
515108-2,17-180 Worker 2p (diesel),2008,agosto de 2021 ,"R$ 94.866,00"
515101-5,17-250 E Worker 2p (diesel),2011,dezembro de 2020 ,"R$ 98.999,00"
515102-3,17-250 E Worker 3-Eixos 2p (diesel),2011,novembro de 2020 ,"R$ 102.708,00"
515077-9,17-210 3-Eixos 2p (diesel),2005,dezembro de 2021 ,"R$ 99.905,00"
515108-2,17-180 Worker 2p (diesel),2008,fevereiro de 2020 ,"R$ 71.748,00"
